,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
469,Arsenal,Liverpool,1.18197,1.6591,3,4,h,2016-08-14 19:00:00
478,Arsenal,Leicester,0.521509,0.553693,0,0,a,2016-08-20 20:30:00
482,Arsenal,Watford,2.03271,1.07775,3,1,a,2016-08-27 18:00:00
494,Arsenal,Southampton,1.89219,1.17522,2,1,h,2016-09-10 18:00:00
502,Arsenal,Hull,3.63453,0.969693,4,1,a,2016-09-17 18:00:00
518,Arsenal,Chelsea,1.66224,0.613553,3,0,h,2016-09-24 20:30:00
530,Arsenal,Burnley,1.85433,0.608783,1,0,a,2016-10-02 19:30:00
532,Arsenal,Swansea,3.50519,1.74979,3,2,h,2016-10-15 18:00:00
547,Arsenal,Middlesbrough,0.711811,1.55581,0,0,h,2016-10-22 18:00:00
2677,Arsenal,Sunderland,2.48348,0.853434,4,1,a,2016-10-29 15:30:00
2692,Arsenal,Tottenham,0.675745,1.19585,1,1,h,2016-11-06 16:00:00
2697,Arsenal,Manchester United,0.575813,0.511462,1,1,a,2016-11-19 16:30:00
2714,Arsenal,Bournemouth,2.8697,2.0491,3,1,h,2016-11-27 18:15:00
3111,Arsenal,West Ham,2.96923,0.882486,5,1,a,2016-12-03 21:30:00
3118,Arsenal,Stoke,1.58027,1.29401,3,1,h,2016-12-10 19:00:00
3126,Arsenal,Everton,1.3508,1.46034,1,2,a,2016-12-13 23:45:00
3142,Arsenal,Manchester City,0.609893,1.5186,1,2,a,2016-12-18 20:00:00
3149,Arsenal,West Bromwich Albion,1.97881,0.687502,1,0,h,2016-12-26 19:00:00
3329,Arsenal,Crystal Palace,1.67138,0.221469,2,0,h,2017-01-01 20:00:00
3336,Arsenal,Bournemouth,1.12629,1.55859,3,3,a,2017-01-03 23:45:00
3343,Arsenal,Swansea,2.31811,0.488485,4,0,a,2017-01-14 19:00:00
3358,Arsenal,Burnley,1.86443,1.29948,2,1,h,2017-01-22 17:15:00
3360,Arsenal,Watford,1.07765,0.918309,1,2,h,2017-01-31 22:45:00
3370,Arsenal,Chelsea,0.950035,1.95451,1,3,a,2017-02-04 12:30:00
3380,Arsenal,Hull,3.1235,0.466403,2,0,h,2017-02-11 12:30:00
3401,Arsenal,Liverpool,0.729203,2.70435,1,3,a,2017-03-04 17:30:00
3420,Arsenal,West Bromwich Albion,0.995221,2.11737,1,3,a,2017-03-18 12:30:00
3430,Arsenal,Manchester City,0.738497,1.40021,2,2,h,2017-04-02 16:00:00
3440,Arsenal,West Ham,2.16023,0.303905,3,0,h,2017-04-05 19:45:00
3459,Arsenal,Crystal Palace,0.44226,2.15968,0,3,a,2017-04-10 20:00:00
3461,Arsenal,Middlesbrough,1.0689,1.72075,2,1,a,2017-04-17 20:00:00
3410,Arsenal,Leicester,0.410203,0.595173,1,0,h,2017-04-26 19:45:00
3487,Arsenal,Tottenham,0.589537,3.46042,0,2,a,2017-04-30 16:30:00
3490,Arsenal,Manchester United,1.03986,0.576173,2,0,h,2017-05-07 16:00:00
3390,Arsenal,Southampton,1.35954,1.25259,2,0,a,2017-05-10 19:45:00
3505,Arsenal,Stoke,2.63639,1.30239,4,1,a,2017-05-13 17:30:00
3470,Arsenal,Sunderland,3.83905,0.271744,2,0,h,2017-05-16 19:45:00
3510,Arsenal,Everton,3.35075,1.8831,3,1,h,2017-05-21 15:00:00
