,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
89,Stoke,Liverpool,0.381274,0.329873,0,1,h,2015-08-09 19:00:00
95,Stoke,Tottenham,2.80956,1.70614,2,2,a,2015-08-15 18:00:00
102,Stoke,Norwich,0.698228,3.14888,1,1,a,2015-08-22 18:00:00
112,Stoke,West Bromwich Albion,1.21771,0.881194,0,1,h,2015-08-29 18:00:00
122,Stoke,Arsenal,0.191277,4.42684,0,2,a,2015-09-12 18:00:00
135,Stoke,Leicester,1.14717,1.22582,2,2,h,2015-09-19 18:00:00
143,Stoke,Bournemouth,1.94483,0.871678,2,1,h,2015-09-26 18:00:00
152,Stoke,Aston Villa,1.03499,0.839028,1,0,a,2015-10-03 18:00:00
170,Stoke,Swansea,1.64894,0.485489,1,0,a,2015-10-19 23:00:00
175,Stoke,Watford,0.848432,1.0403,0,2,h,2015-10-24 18:00:00
184,Stoke,Newcastle United,1.38017,1.26075,0,0,a,2015-10-31 19:00:00
197,Stoke,Chelsea,0.825418,1.02642,1,0,h,2015-11-07 21:30:00
203,Stoke,Southampton,1.19495,0.709485,1,0,a,2015-11-21 19:00:00
211,Stoke,Sunderland,0.79464,0.863466,0,2,a,2015-11-28 19:00:00
221,Stoke,Manchester City,2.01436,0.483752,2,0,h,2015-12-05 16:45:00
235,Stoke,West Ham,1.87239,1.13181,0,0,a,2015-12-12 19:00:00
243,Stoke,Crystal Palace,2.41499,1.95347,1,2,h,2015-12-19 19:00:00
251,Stoke,Manchester United,1.18211,1.28961,2,0,h,2015-12-26 16:45:00
265,Stoke,Everton,1.58159,2.2472,4,3,a,2015-12-28 19:00:00
272,Stoke,West Bromwich Albion,0.917526,1.72318,1,2,a,2016-01-02 19:00:00
285,Stoke,Norwich,1.24456,0.193728,3,1,h,2016-01-13 23:45:00
299,Stoke,Arsenal,0.546879,0.585841,0,0,h,2016-01-17 20:15:00
304,Stoke,Leicester,0.340483,2.25906,0,3,a,2016-01-23 19:00:00
317,Stoke,Manchester United,0.350909,2.45272,0,3,a,2016-02-03 00:00:00
323,Stoke,Everton,0.693548,3.05913,0,3,h,2016-02-06 19:00:00
336,Stoke,Bournemouth,0.927348,1.19427,3,1,a,2016-02-13 19:00:00
345,Stoke,Aston Villa,2.04047,0.414343,2,1,h,2016-02-27 19:00:00
356,Stoke,Newcastle United,0.298318,0.270782,1,0,h,2016-03-02 23:45:00
362,Stoke,Chelsea,1.60285,1.0615,1,1,a,2016-03-05 19:00:00
370,Stoke,Southampton,1.06676,0.874966,1,2,h,2016-03-12 19:00:00
377,Stoke,Watford,1.58145,0.879462,2,1,a,2016-03-19 19:00:00
388,Stoke,Swansea,1.17598,0.4319,2,2,h,2016-04-02 18:00:00
403,Stoke,Liverpool,0.85508,2.21484,1,4,a,2016-04-10 19:00:00
414,Stoke,Tottenham,0.458376,2.89775,0,4,h,2016-04-18 23:00:00
420,Stoke,Manchester City,1.09174,2.22482,0,4,a,2016-04-23 15:45:00
427,Stoke,Sunderland,0.68487,1.43105,1,1,h,2016-04-30 18:00:00
438,Stoke,Crystal Palace,1.27766,1.31448,1,2,a,2016-05-07 18:00:00
456,Stoke,West Ham,0.288737,2.94489,2,1,h,2016-05-15 18:00:00
