,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
16379,Chelsea,Crystal Palace,1.18709,0.321701,3,0,h,2021-08-14 14:00:00
16394,Chelsea,Arsenal,3.64132,0.630099,2,0,a,2021-08-22 15:30:00
16402,Chelsea,Liverpool,0.573638,2.08462,1,1,a,2021-08-28 16:30:00
16413,Chelsea,Aston Villa,1.22153,1.17349,3,0,h,2021-09-11 16:30:00
16425,Chelsea,Tottenham,2.5869,0.70567,3,0,a,2021-09-19 15:30:00
16426,Chelsea,Manchester City,0.194202,1.69244,0,1,h,2021-09-25 11:30:00
16438,Chelsea,Southampton,3.79243,1.52634,3,1,h,2021-10-02 14:00:00
16448,Chelsea,Brentford,0.248256,1.62169,1,0,a,2021-10-16 16:30:00
16459,Chelsea,Norwich,3.10509,0.267429,7,0,h,2021-10-23 11:30:00
16471,Chelsea,Newcastle United,2.16608,0.157616,3,0,a,2021-10-30 14:00:00
16479,Chelsea,Burnley,3.00585,0.674072,1,1,h,2021-11-06 15:00:00
