,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7120,Watford,Liverpool,2.17647,2.61549,3,3,h,2017-08-12 12:30:00
7131,Watford,Bournemouth,2.17717,0.766694,2,0,a,2017-08-19 15:00:00
7143,Watford,Brighton,0.281459,0.952357,0,0,h,2017-08-26 15:00:00
7150,Watford,Southampton,0.57794,0.331259,2,0,a,2017-09-09 15:00:00
7164,Watford,Manchester City,0.803933,3.99349,0,6,h,2017-09-16 15:00:00
7171,Watford,Swansea,1.25817,1.50811,2,1,a,2017-09-23 15:00:00
7182,Watford,West Bromwich Albion,1.62462,1.93896,2,2,a,2017-09-30 15:00:00
7198,Watford,Arsenal,1.63418,0.988468,2,1,h,2017-10-14 17:30:00
7199,Watford,Chelsea,1.79693,1.78315,2,4,a,2017-10-21 19:30:00
7216,Watford,Stoke,1.13448,0.778883,0,1,h,2017-10-28 15:00:00
7220,Watford,Everton,2.05534,2.5796,2,3,a,2017-11-05 16:30:00
7230,Watford,West Ham,1.24547,1.43369,2,0,h,2017-11-19 16:00:00
7242,Watford,Newcastle United,2.05844,0.86002,3,0,a,2017-11-25 15:00:00
7251,Watford,Manchester United,1.29277,1.63491,2,4,h,2017-11-28 20:00:00
7264,Watford,Tottenham,0.352672,0.788817,1,1,h,2017-12-02 15:00:00
7272,Watford,Burnley,0.819233,0.485632,0,1,a,2017-12-09 15:00:00
7282,Watford,Crystal Palace,1.40441,1.10545,1,2,a,2017-12-12 20:00:00
7296,Watford,Huddersfield,0.589103,3.49193,1,4,h,2017-12-16 15:00:00
7305,Watford,Brighton,1.30044,1.40139,0,1,a,2017-12-23 15:00:00
7317,Watford,Leicester,1.43009,1.54771,2,1,h,2017-12-26 15:00:00
7327,Watford,Swansea,1.17794,1.31479,1,2,h,2017-12-30 15:00:00
7335,Watford,Manchester City,0.965283,2.77398,1,3,a,2018-01-02 20:00:00
7347,Watford,Southampton,1.67369,0.857637,2,2,h,2018-01-13 15:00:00
7353,Watford,Leicester,0.740795,1.51932,0,2,a,2018-01-20 15:00:00
7368,Watford,Stoke,0.740773,0.722172,0,0,a,2018-01-31 20:00:00
7377,Watford,Chelsea,2.12696,0.573557,4,1,h,2018-02-05 20:00:00
7388,Watford,West Ham,0.799928,1.83359,0,2,a,2018-02-10 15:00:00
7392,Watford,Everton,0.606929,0.665127,1,0,h,2018-02-24 17:30:00
7408,Watford,West Bromwich Albion,1.23526,1.09115,1,0,h,2018-03-03 15:00:00
7409,Watford,Arsenal,1.54676,2.38263,0,3,a,2018-03-11 13:30:00
7423,Watford,Liverpool,0.35476,1.81208,0,5,a,2018-03-17 17:30:00
7437,Watford,Bournemouth,0.76133,2.1146,2,2,h,2018-03-31 15:00:00
7447,Watford,Burnley,1.36685,1.38319,1,2,h,2018-04-07 14:00:00
7451,Watford,Huddersfield,0.306273,0.929512,0,1,a,2018-04-14 14:00:00
7467,Watford,Crystal Palace,0.59455,0.182325,0,0,h,2018-04-21 14:00:00
7477,Watford,Tottenham,1.36928,1.76757,0,2,a,2018-04-30 19:00:00
7482,Watford,Newcastle United,2.81246,0.613901,2,1,h,2018-05-05 15:00:00
7496,Watford,Manchester United,0.654288,0.45805,0,1,a,2018-05-13 15:00:00
