,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
464,Swansea,Burnley,1.72089,1.04903,1,0,a,2016-08-13 18:00:00
474,Swansea,Hull,1.14134,2.18655,0,2,h,2016-08-20 18:00:00
483,Swansea,Leicester,0.32818,2.47977,1,2,a,2016-08-27 18:00:00
499,Swansea,Chelsea,1.2304,2.19035,2,2,h,2016-09-11 19:00:00
509,Swansea,Southampton,0.490661,2.15218,0,1,a,2016-09-18 17:15:00
515,Swansea,Manchester City,1.11096,2.57704,1,3,h,2016-09-24 15:00:00
522,Swansea,Liverpool,2.65842,2.02239,1,2,h,2016-10-01 15:30:00
532,Swansea,Arsenal,1.74979,3.50519,2,3,a,2016-10-15 18:00:00
543,Swansea,Watford,1.33215,0.478578,0,0,h,2016-10-22 18:00:00
2686,Swansea,Stoke,1.10058,2.16407,1,3,a,2016-11-01 00:00:00
2695,Swansea,Manchester United,0.51266,1.00006,1,3,h,2016-11-06 19:00:00
2702,Swansea,Everton,1.07471,1.54877,1,1,a,2016-11-19 19:00:00
2709,Swansea,Crystal Palace,3.3955,2.28156,5,4,h,2016-11-26 19:00:00
3109,Swansea,Tottenham,0.0342109,3.9767,0,5,a,2016-12-03 19:00:00
3117,Swansea,Sunderland,2.18185,0.672058,3,0,h,2016-12-10 19:00:00
3131,Swansea,West Bromwich Albion,1.07221,1.78268,1,3,a,2016-12-15 00:00:00
3136,Swansea,Middlesbrough,0.602249,1.71549,0,3,a,2016-12-17 19:00:00
3146,Swansea,West Ham,0.954864,3.40585,1,4,h,2016-12-26 19:00:00
3161,Swansea,Bournemouth,0.515218,2.43608,0,3,h,2016-12-31 19:00:00
3337,Swansea,Crystal Palace,1.18905,0.331276,2,1,a,2017-01-04 00:00:00
3343,Swansea,Arsenal,0.488485,2.31811,0,4,h,2017-01-14 19:00:00
3350,Swansea,Liverpool,1.60482,1.24037,3,2,a,2017-01-21 15:30:00
3365,Swansea,Southampton,0.760046,0.907103,2,1,h,2017-01-31 22:45:00
3378,Swansea,Manchester City,0.11445,2.87972,1,2,a,2017-02-05 13:30:00
3388,Swansea,Leicester,0.693376,0.672883,2,0,h,2017-02-12 16:00:00
3391,Swansea,Chelsea,0.280172,1.22573,1,3,a,2017-02-25 15:00:00
3405,Swansea,Burnley,1.44545,0.933851,3,2,h,2017-03-04 15:00:00
3417,Swansea,Hull,1.44148,1.98818,1,2,a,2017-03-11 15:00:00
3429,Swansea,Bournemouth,0.37687,1.00816,0,2,a,2017-03-18 17:30:00
3438,Swansea,Middlesbrough,0.64382,0.748206,0,0,h,2017-04-02 13:30:00
3444,Swansea,Tottenham,0.872579,2.2242,1,3,h,2017-04-05 19:45:00
3455,Swansea,West Ham,0.307666,1.20573,0,1,a,2017-04-08 15:00:00
3466,Swansea,Watford,0.641001,1.22039,0,1,a,2017-04-15 15:00:00
3478,Swansea,Stoke,0.475636,1.69454,2,0,h,2017-04-22 15:00:00
3482,Swansea,Manchester United,0.775713,1.99224,1,1,a,2017-04-30 12:00:00
3498,Swansea,Everton,2.09244,0.270186,1,0,h,2017-05-06 17:30:00
3506,Swansea,Sunderland,0.344096,1.03765,2,0,a,2017-05-13 15:00:00
3518,Swansea,West Bromwich Albion,1.74555,1.60674,2,1,h,2017-05-21 15:00:00
