,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9205,West Ham,Liverpool,0.404253,4.34421,0,4,a,2018-08-12 15:30:00
9208,West Ham,Bournemouth,1.10275,1.69077,1,2,h,2018-08-18 17:00:00
9222,West Ham,Arsenal,1.17924,1.7852,1,3,a,2018-08-25 17:00:00
9228,West Ham,Wolverhampton Wanderers,0.888887,1.22301,0,1,h,2018-09-01 14:00:00
9245,West Ham,Everton,1.52437,1.26774,3,1,a,2018-09-16 15:00:00
9255,West Ham,Chelsea,1.0177,1.88344,0,0,h,2018-09-23 12:30:00
9257,West Ham,Manchester United,1.3029,0.865739,3,1,h,2018-09-29 11:30:00
9267,West Ham,Brighton,1.43652,1.02566,0,1,a,2018-10-05 19:00:00
9279,West Ham,Tottenham,0.544268,1.11777,0,1,h,2018-10-20 14:00:00
9293,West Ham,Leicester,1.56009,1.95344,1,1,a,2018-10-27 16:30:00
9298,West Ham,Burnley,2.55739,0.882514,4,2,h,2018-11-03 15:00:00
9311,West Ham,Huddersfield,1.44113,1.17524,1,1,a,2018-11-10 15:00:00
9317,West Ham,Manchester City,0.829504,2.95852,0,4,h,2018-11-24 15:00:00
9328,West Ham,Newcastle United,2.62697,1.12583,3,0,a,2018-12-01 15:00:00
9340,West Ham,Cardiff,1.57488,1.93448,3,1,h,2018-12-04 19:45:00
9347,West Ham,Crystal Palace,1.53635,0.934613,3,2,h,2018-12-08 15:00:00
9364,West Ham,Fulham,0.75325,1.03424,2,0,a,2018-12-15 17:30:00
9368,West Ham,Watford,2.06507,2.32983,0,2,h,2018-12-22 15:00:00
9379,West Ham,Southampton,1.26973,1.28665,2,1,a,2018-12-27 19:45:00
9395,West Ham,Burnley,0.656044,2.89884,0,2,a,2018-12-30 14:15:00
9398,West Ham,Brighton,0.639356,0.686806,2,2,h,2019-01-02 19:45:00
9407,West Ham,Arsenal,0.669394,0.685895,1,0,h,2019-01-12 12:30:00
9425,West Ham,Bournemouth,0.971813,1.24835,0,2,a,2019-01-19 15:00:00
9427,West Ham,Wolverhampton Wanderers,0.130179,2.0363,0,3,a,2019-01-29 19:45:00
9437,West Ham,Liverpool,0.791319,1.12475,1,1,h,2019-02-04 20:00:00
9448,West Ham,Crystal Palace,1.74711,2.68412,1,1,a,2019-02-09 15:00:00
9457,West Ham,Fulham,2.72871,1.23555,3,1,h,2019-02-22 19:45:00
9475,West Ham,Manchester City,0.400125,3.67741,0,1,a,2019-02-27 20:00:00
9478,West Ham,Newcastle United,1.88895,1.18549,2,0,h,2019-03-02 17:30:00
9495,West Ham,Cardiff,0.295869,3.49275,0,2,a,2019-03-09 15:00:00
9498,West Ham,Huddersfield,1.88114,1.66909,4,3,h,2019-03-16 15:00:00
9508,West Ham,Everton,0.0891639,2.65983,0,2,h,2019-03-30 17:30:00
9525,West Ham,Chelsea,0.471195,2.23287,0,2,a,2019-04-08 20:00:00
9530,West Ham,Manchester United,1.42817,2.65125,1,2,a,2019-04-13 17:30:00
9538,West Ham,Leicester,1.36558,0.8065,2,2,h,2019-04-20 15:00:00
9548,West Ham,Tottenham,0.991558,1.35378,1,0,a,2019-04-27 12:30:00
9558,West Ham,Southampton,1.99866,0.443686,3,0,h,2019-05-04 14:00:00
9567,West Ham,Watford,3.20094,2.06986,4,1,a,2019-05-12 14:00:00
