,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
4758,Burnley,Chelsea,0.371141,2.12996,1,3,h,2014-08-18 20:00:00
4763,Burnley,Swansea,0.843331,0.914215,0,1,a,2014-08-23 15:00:00
4769,Burnley,Manchester United,0.513746,0.467281,0,0,h,2014-08-30 12:45:00
4721,Burnley,Crystal Palace,1.2493,0.780534,0,0,a,2014-09-13 15:00:00
4732,Burnley,Sunderland,0.710673,0.643512,0,0,h,2014-09-20 15:00:00
4747,Burnley,West Bromwich Albion,0.473814,1.81127,0,4,a,2014-09-28 16:00:00
4690,Burnley,Leicester,0.957718,1.57773,2,2,a,2014-10-04 15:00:00
4701,Burnley,West Ham,1.74404,2.84138,1,3,h,2014-10-18 15:00:00
4716,Burnley,Everton,1.55564,1.32187,1,3,h,2014-10-26 13:30:00
4652,Burnley,Arsenal,0.684259,4.3298,0,3,a,2014-11-01 15:00:00
4660,Burnley,Hull,1.10315,0.526656,1,0,h,2014-11-08 15:00:00
4669,Burnley,Stoke,1.27532,1.94307,2,1,a,2014-11-22 15:00:00
4685,Burnley,Aston Villa,2.3058,1.0873,1,1,h,2014-11-29 15:00:00
4589,Burnley,Newcastle United,0.678486,1.0006,1,1,h,2014-12-02 19:45:00
4600,Burnley,Queens Park Rangers,1.2646,1.63744,0,2,a,2014-12-06 15:00:00
4609,Burnley,Southampton,0.396158,1.713,1,0,h,2014-12-13 15:00:00
4621,Burnley,Tottenham,0.655135,1.77346,1,2,a,2014-12-20 15:00:00
4630,Burnley,Liverpool,0.61207,1.06708,0,1,h,2014-12-26 15:00:00
4643,Burnley,Manchester City,0.962215,1.38586,2,2,a,2014-12-28 15:00:00
4553,Burnley,Newcastle United,1.65582,1.24639,3,3,a,2015-01-01 15:00:00
4564,Burnley,Queens Park Rangers,2.19126,1.69555,2,1,h,2015-01-10 15:00:00
4572,Burnley,Crystal Palace,1.08428,0.528431,2,3,h,2015-01-17 15:00:00
4585,Burnley,Sunderland,1.34786,1.89994,0,2,a,2015-01-31 15:00:00
4522,Burnley,West Bromwich Albion,1.09795,2.55442,2,2,h,2015-02-08 12:00:00
4531,Burnley,Manchester United,1.85067,1.62116,1,3,a,2015-02-11 19:45:00
4536,Burnley,Chelsea,0.513251,1.53973,1,1,a,2015-02-21 15:00:00
4549,Burnley,Swansea,0.898885,1.41451,0,1,h,2015-02-28 15:00:00
4491,Burnley,Liverpool,0.319239,1.30453,0,2,a,2015-03-04 20:00:00
4498,Burnley,Manchester City,0.242058,1.2576,1,0,h,2015-03-14 17:30:00
4506,Burnley,Southampton,1.05022,1.92097,0,2,a,2015-03-21 15:00:00
4447,Burnley,Tottenham,1.51355,0.377376,0,0,h,2015-04-05 13:30:00
4457,Burnley,Arsenal,0.65718,1.21096,0,1,h,2015-04-11 17:30:00
4461,Burnley,Everton,1.06159,2.36114,0,1,a,2015-04-18 15:00:00
4473,Burnley,Leicester,1.98975,1.21926,0,1,h,2015-04-25 15:00:00
4404,Burnley,West Ham,0.758485,3.23925,0,1,a,2015-05-02 15:00:00
4410,Burnley,Hull,1.21303,1.12811,1,0,a,2015-05-09 15:00:00
4424,Burnley,Stoke,0.909845,1.76276,0,0,h,2015-05-16 15:00:00
4430,Burnley,Aston Villa,0.66113,0.654751,1,0,a,2015-05-24 15:00:00
